index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,probs_noexp,probs_exp,usefulness
307,Many types of motion occur in our solar system. Which type of motion describes one Earth year?,"['the revolution of the sun around Earth', 'the revolution of Earth around the sun', 'the rotation of the sun around Earth', 'the rotation of Earth around the sun']",B,"One Earth year is defined by Earth's revolution around the sun, taking about 365.25 days, unlike rotation, which causes day and night.",B,0.7845194935798645,B,0.8929911851882935,True,True,True,[0.19874538 0.7845195  0.00222518 0.01450999],[0.08314227 0.8929912  0.00284497 0.02102166],True
308,Which of these best defines communicable diseases?,"['They can be cured.', 'They are caused by bacteria.', 'They are spread to others.', 'They can spread only in winter.']",C,"Communicable diseases are illnesses that can be transmitted between individuals, distinguishing them from non-communicable diseases.",C,0.97267085313797,C,0.9798544049263,True,True,True,[0.02298699 0.00163936 0.97267085 0.00270284],[1.8211486e-02 9.0669643e-04 9.7985440e-01 1.0274217e-03],True
309,Which of the following statements best explains why it is warmer at the equator than at the North Pole?,"['The equator has a larger area than the North Pole.', 'The equator is closer to the Sun than the North Pole.', 'The equator receives more direct sunlight than the North Pole.', 'The equator has more hours of daylight per year than the North Pole.']",C,"The equator receives more direct sunlight than the North Pole, leading to higher temperatures due to concentrated sun rays over a smaller area.",C,0.642164945602417,C,0.9537375569343568,True,True,True,[0.14384717 0.20766763 0.64216495 0.0063202 ],[0.04215056 0.00300604 0.95373756 0.00110586],True
310,Which statement best describes a liquid sample?,"['It will retain its volume if transferred to a larger container.', 'It keeps its shape when transferred to a larger container.', 'Its volume can be greatly reduced by adding pressure.', 'Its shape can be changed by increasing its temperature.']",A,"[MASK] liquid maintains its volume regardless of container shape, [MASK] key property. It conforms to the container but doesn't change volume unless temperature or pressure alters it. Thus, option [MASK] is correct.",A,0.9069929122924804,A,0.9327258467674256,True,True,True,[0.9069929  0.01895316 0.00790085 0.06615302],[0.93272585 0.0248078  0.00637117 0.03609514],True
311,Which phrase best describes the mass of an object?,"['the weight of the object', 'the volume of the object', 'the amount of matter in the object', 'the amount of gravitational pull on the object']",C,"Mass is the amount of matter in an object, independent of gravity, unlike weight. Thus, option [MASK] correctly defines mass.",C,0.9439514875411988,C,0.9823290705680848,True,True,True,[5.3124242e-02 5.9015705e-04 9.4395149e-01 2.3341165e-03],[1.5815970e-02 3.8376311e-04 9.8232907e-01 1.4711142e-03],True
312,A student observes zinc turning from a solid to a liquid in a laboratory investigation. Which statement describes the change in zinc atoms while melting?,"['The mass of the zinc atoms decreased.', 'The zinc atoms lost their relative fixed position.', 'The zinc atoms were changed into atoms of another element.', 'The size of the zinc atoms decreased.']",B,"During melting, zinc atoms gain energy, move freely, and lose their fixed positions, but their mass and size remain unchanged, and they do not transform into another element.",B,0.9776071310043336,B,0.9827389121055604,True,True,True,[1.7809585e-02 9.7760713e-01 6.0941052e-04 3.9738556e-03],[0.01405228 0.9827389  0.00130707 0.00190177],True
313,All of these are examples of the ways Earth and the Moon interact except,"['the phases of the Moon.', 'the tides on Earth.', 'seasons on Earth.', 'lunar eclipses.']",C,"Seasons on Earth result from its axial tilt and orbit around the Sun, not from the Moon. In contrast, the other options involve Earth-Moon interactions. Thus, option [MASK] is correct.",A,0.6180170178413391,A,0.5979373455047607,False,False,False,[0.618017   0.01672895 0.22735576 0.13789824],[0.59793735 0.01078182 0.21996886 0.17131193],False
314,"In a grassland ecosystem, if the population of eagles suddenly decreased, what will most likely be the effect on the rest of the ecosystem?","['The ecosystem will become overpopulated with snakes.', 'There will be a decrease in the population of snakes in the ecosystem.', 'The nutrition of the soil in the ecosystem will decrease.', 'More types of plants will begin growing in the ecosystem.']",A,"The decline in eagles, which prey on snakes, will likely lead to increased snake populations, disrupting the ecosystem balance and potentially causing overpopulation issues. Thus, option [MASK] is the most probable effect.",B,0.9651731848716736,A,0.9988974332809448,False,True,True,[3.2945875e-02 9.6517318e-01 6.0342479e-04 1.2774502e-03],[9.9889743e-01 4.3491455e-04 2.3279298e-04 4.3491455e-04],True
315,"Ptolemy was an ancient astronomer who thought Earth was the center of the universe. When he made observations that were inconsistent with this, he proposed a phenomenon called ""epicycles"" to explain the observations. How was Ptolemy's process similar to the modern scientific process?","['Ptolemy based his model partly on a belief system.', 'Observations inspired Ptolemy to modify his explanations.', 'Ptolemy tried to describe the universe instead of explaining it.', ""Experiments were the basis of Ptolemy's model of the universe.""]",B,"Ptolemy's process mirrors modern science as he adapted his theories based on celestial observations, introducing epicycles to resolve inconsistencies, reflecting a commitment to revising ideas with empirical evidence.",A,0.7015647292137146,B,0.9611644744873048,False,True,True,[0.7015647  0.29302743 0.00253518 0.00287274],[3.7050661e-02 9.6116447e-01 1.4592333e-03 3.2559896e-04],True
316,"New evidence suggests that ""hot spots"" may form in response to ""twisting"" stresses on plates. It is theorized that these stresses may eventually result in the splitting apart of the tectonic plate in the area of the hot spot. Which of the geographic features would be affected most by the splitting of a tectonic plate?","['the Himalayas', 'the Hawaiian Islands', 'the San Andreas Fault', 'the Mid-Atlantic Ridge']",B,"[MASK], formed by a hot spot's volcanic activity, would be most affected by tectonic plate splitting, likely resulting in increased volcanic activity and new island formation.",B,0.9706889986991882,B,0.9956547021865844,True,True,True,[0.01575113 0.970689   0.00129293 0.012267  ],[2.501344e-03 9.956547e-01 9.795404e-04 8.644414e-04],True
317,All of these are ways to stay safe around electricity except,"['staying away from power lines.', 'using cords in good condition.', 'plugging many appliances into one outlet.', 'keeping electricity away from water.']",C,"Plugging multiple appliances into one outlet risks overload and fires, unlike the other safe practices listed. Thus, option [MASK] is the exception.",C,0.869531512260437,C,0.9186887741088868,True,True,True,[0.11699079 0.00114694 0.8695315  0.01233074],[0.07482371 0.0010673  0.9186888  0.00542021],True
318,What enabled Galileo in the 17th century to see the moons of Jupiter?,"['Jupiter came close to Earth during his lifetime.', 'He realized that all of the planets go around the Sun.', 'He invented advanced tools for looking at the sky.', 'Earlier scientists failed to take an interest in the sky.']",C,"Galileo observed Jupiter's moons by inventing and improving telescopes, enabling significant astronomical discoveries in 1610. This technological advancement was essential for his observations.",A,0.4954106509685516,C,0.9792241454124452,False,True,True,[0.49541065 0.00430292 0.49541065 0.00487584],[2.0253804e-02 2.9345456e-04 9.7922415e-01 2.2854266e-04],True
319,A student uses a pH meter to measure the acidity of a water sample from a lake. For what purpose is the student most likely testing the water?,"['to learn what organisms could survive in the lake', 'to determine the age of the lake', 'to understand how people use the lake', 'to find out the depth of the lake']",A,"The student tests pH to assess acidity, which affects organism survival and indicates the lake's ecological health. This helps determine its ability to support aquatic life.",A,0.9500687122344972,A,0.9845083951950072,True,True,True,[0.9500687  0.01724884 0.00719039 0.02549214],[0.9845084  0.00973698 0.00217261 0.00358204],True
320,"In the 17th century, Galileo proposed a hypothesis to explain how suction pumps work. Galileo's hypothesis was disproved, but later it helped Torricelli in the development of an instrument for measuring atmospheric pressure. How did Galileo's hypothesis most likely help with the development of this new technology?","['by leading Galileo to design a different technology', ""by allowing another scientist to critique Galileo's hypothesis"", 'by providing evidence of the effects of atmospheric pressure', 'by inspiring another scientist to test an alternative hypothesis']",D,"Galileo's hypothesis, despite being disproven, enhanced understanding of atmospheric pressure, providing foundational insights that Torricelli used to develop the barometer for measuring pressure.",C,0.9806333184242249,C,0.9946842789649964,False,False,False,[1.5904730e-02 3.3009212e-04 9.8063332e-01 3.1318271e-03],[4.5459727e-03 2.9061435e-04 9.9468428e-01 4.7914204e-04],False
321,What is the relationship between a community and a population?,"['A population is smaller than a community.', 'A population is larger than a community.', 'A population includes communities of organisms interacting.', 'A community includes populations of organisms interacting.']",D,"A community consists of multiple interacting populations, making option [MASK] correct.",D,0.8146730065345764,D,0.8577505350112915,True,True,True,[5.9245691e-02 6.5816019e-04 1.2542313e-01 8.1467301e-01],[7.9627551e-02 6.0796383e-04 6.2013999e-02 8.5775054e-01],True
322,Most volcanoes develop due to interactions between two tectonic plates. Which of the tectonic plate interactions is least likely to produce volcanic activity?,"['two diverging oceanic plates', 'two converging oceanic plates', 'two diverging continental plates', 'two converging continental plates']",D,"Diverging continental plates are less likely to produce volcanoes due to thicker crust, which resists melting. Most significant volcanic activity occurs at oceanic boundaries or converging plates where subduction leads to magma formation.",A,0.5447608828544617,A,0.4544433057308197,False,False,False,[0.5447609  0.10768962 0.01842352 0.32912603],[0.4544433  0.1901816  0.07866253 0.2767126 ],False
